Company Name,Location,Date,Detail,Status Rocket,Rocket,Status Mission,Year,Month,Country
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020-05-25 19:50:00+00:00,LauncherOne | Demo Flight,Statusactive,12.0 ,Failure,2020.0,May,USA
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-05-22 07:31:00+00:00,Soyuz 2.1b/Fregat-M | Cosmos 2546,Statusactive,,Success,2020.0,May,Russia
MHI,"LA-Y2, Tanegashima Space Center, Japan",2020-05-20 17:31:00+00:00,H-IIB | HTV-9,Statusretired,112.5 ,Success,2020.0,May,Japan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-05-17 13:14:00+00:00,Atlas V 501 | OTV-6 (USSF-7),Statusactive,120.0 ,Success,2020.0,May,USA
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-05-12 01:16:00+00:00,Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,Statusactive,,Success,2020.0,May,China
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-05-05 10:00:00+00:00,Long March 5B | Test Flight (New Crew Capsule),Statusactive,,Success,2020.0,May,China
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-25 01:51:00+00:00,Soyuz 2.1a | Progress MS-14,Statusactive,48.5 ,Success,2020.0,April,Kazakhstan
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-04-22 19:30:00+00:00,Falcon 9 Block 5 | Starlink V1 L6,Statusactive,50.0 ,Success,2020.0,April,USA
IRGC,"Launch Plateform, Shahrud Missile Test Site",2020-04-22 03:59:00+00:00,Qased | Noor 1,Statusactive,,Success,2020.0,April,Shahrud Missile Test Site
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-04-09 11:46:00+00:00,Long March 3B/E | Nusantara Dua,Statusactive,29.15 ,Failure,2020.0,April,China
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-09 08:05:00+00:00,Soyuz 2.1a | Soyuz MS-16,Statusactive,48.5 ,Success,2020.0,April,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-03-26 20:18:00+00:00,Atlas V 551 | AEHF 6,Statusactive,153.0 ,Success,2020.0,March,USA
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-03-24 03:43:00+00:00,Long March 2C | Yaogan-30-06,Statusactive,30.8 ,Success,2020.0,March,China
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-03-21 17:06:00+00:00,Soyuz 2.1b/Fregat | OneWeb #3,Statusactive,48.5 ,Success,2020.0,March,Kazakhstan
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-03-18 12:16:00+00:00,Falcon 9 Block 5 | Starlink V1 L5,Statusactive,50.0 ,Success,2020.0,March,USA
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-03-16 18:28:00+00:00,Soyuz 2.1b/Fregat-M | Cosmos 2545,Statusactive,,Success,2020.0,March,Russia
CASC,"LC-201, Wenchang Satellite Launch Center, China",2020-03-16 13:34:00+00:00,Long March 7A | XJY-6,Statusactive,,Failure,2020.0,March,China
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-03-09 11:55:00+00:00,Long March 3B/E | Beidou-3 G2,Statusactive,29.15 ,Success,2020.0,March,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-03-07 04:50:00+00:00,Falcon 9 Block 5 | CRS-20,Statusactive,50.0 ,Success,2020.0,March,USA
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020-02-20 08:24:00+00:00,Soyuz 2.1a/Fregat-M | Meridian-M n†­19L,Statusactive,48.5 ,Success,2020.0,February,Russia
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-02-19 21:07:00+00:00,Long March 2D | XJS-C to F,Statusactive,29.75 ,Success,2020.0,February,China
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-02-18 22:18:00+00:00,Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B,Statusactive,200.0 ,Success,2020.0,February,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-02-17 15:05:00+00:00,Falcon 9 Block 5 | Starlink V1 L4,Statusactive,50.0 ,Success,2020.0,February,USA
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-02-15 20:21:00+00:00,Antares 230+ | CRS NG-13,Statusactive,85.0 ,Success,2020.0,February,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-02-10 04:03:00+00:00,Atlas V 411 | Solar Orbiter,Statusactive,115.0 ,Success,2020.0,February,USA
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2020-02-09 15:48:00+00:00,Simorgh | Zafar 1,Statusactive,,Failure,2020.0,February,Iran
MHI,"LA-Y1, Tanegashima Space Center, Japan",2020-02-09 01:34:00+00:00,H-IIA 202 | IGS-Optical 7,Statusactive,90.0 ,Success,2020.0,February,Japan
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-02-06 21:42:00+00:00,Soyuz 2.1b/Fregat | OneWeb #2,Statusactive,48.5 ,Success,2020.0,February,Kazakhstan
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-01-31 02:56:00+00:00,Electron/Curie | Birds of a Feather / NROL-151,Statusactive,7.5 ,Success,2020.0,January,New Zealand
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-29 14:06:00+00:00,Falcon 9 Block 5 | Starlink V1 L3,Statusactive,50.0 ,Success,2020.0,January,USA
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-01-19 15:30:00+00:00,Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,Statusactive,50.0 ,Success,2020.0,January,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-01-16 21:05:00+00:00,Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,Statusactive,200.0 ,Success,2020.0,January,France
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-01-16 03:02:00+00:00,Kuaizhou 1A | Yinhe-1,Statusactive,,Success,2020.0,January,China
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-01-15 02:53:00+00:00,Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,Statusactive,29.75 ,Success,2020.0,January,China
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-01-07 15:20:00+00:00,Long March 3B/E | TJSW-5,Statusactive,29.15 ,Success,2020.0,January,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-07 02:19:00+00:00,Falcon 9 Block 5 | Starlink V1 L2,Statusactive,50.0 ,Success,2020.0,January,USA
CASC,"LC-101, Wenchang Satellite Launch Center, China",2019-12-27 12:45:00+00:00,Long March 5 | Shijian-20,Statusactive,,Success,2019.0,December,China
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019-12-26 23:11:00+00:00,"Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",Statusretired,41.8 ,Success,2019.0,December,Russia
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-12-24 12:03:00+00:00,Proton-M/DM-3 | Elektro-L n†­3,Statusactive,65.0 ,Success,2019.0,December,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019-12-20 11:36:00+00:00,Atlas V N22 | Starliner OFT,Statusactive,,Success,2019.0,December,USA
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-12-20 03:22:00+00:00,"Long March 4B | CBERS-4A, ETRSS-1 & Others",Statusactive,64.68 ,Success,2019.0,December,China
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-12-18 08:54:00+00:00,"Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",Statusactive,,Success,2019.0,December,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-17 00:10:00+00:00,Falcon 9 Block 5 | JCSAT-18 / Kacific-1,Statusactive,50.0 ,Success,2019.0,December,USA
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-12-16 07:22:00+00:00,Long March 3B/YZ-1 | BeiDou-3 M19 & M20,Statusactive,,Success,2019.0,December,China
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-12-11 17:55:00+00:00,New Shepard | NS-12,Statusactive,,Success,2019.0,December,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-12-11 09:55:00+00:00,PSLV-QL | RISAT 2BR1,Statusactive,21.0 ,Success,2019.0,December,India
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2019-12-11 08:54:00+00:00,Soyuz 2.1b/Fregat | Cosmos 2544,Statusactive,48.5 ,Success,2019.0,December,Russia
ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019-12-07 08:52:00+00:00,Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,Statusactive,,Success,2019.0,December,China
ExPace,"Taiyuan Satellite Launch Center, China",2019-12-07 02:55:00+00:00,Kuaizhou 1A | Jilin-1 Gaofen-02B,Statusactive,,Success,2019.0,December,China
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-12-06 09:34:00+00:00,Soyuz 2.1a | Progress MS-13 (74P),Statusactive,48.5 ,Success,2019.0,December,Kazakhstan
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-12-06 08:18:00+00:00,Electron/Curie | Running Out Of Fingers,Statusactive,7.5 ,Success,2019.0,December,New Zealand
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-05 17:29:00+00:00,Falcon 9 Block 5 | CRS-19,Statusactive,50.0 ,Success,2019.0,December,USA
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-11-27 23:52:00+00:00,Long March 4C | Gaofen-12,Statusactive,64.68 ,Success,2019.0,November,China
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-11-27 03:58:00+00:00,PSLV-XL | Cartosat-3 & Rideshares,Statusactive,31.0 ,Success,2019.0,November,India
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-11-26 21:23:00+00:00,Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,Statusactive,200.0 ,Success,2019.0,November,France
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-11-25 17:52:00+00:00,Soyuz 2.1v/Volga | Cosmos 2542 & 2543,Statusactive,,Success,2019.0,November,Russia
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-11-23 00:55:00+00:00,Long March 3B/YZ-1 | BeiDou-3 M21 & M22,Statusactive,,Success,2019.0,November,China
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-11-17 10:00:00+00:00,"Kuaizhou 1A | KL-Alpha A, KL-Alpha B",Statusactive,,Success,2019.0,November,China
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2019-11-13 06:35:00+00:00,Long March 6 | Ningxia-1 (x5),Statusactive,,Success,2019.0,November,China
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-11-13 03:40:00+00:00,Kuaizhou 1A | Jilin 1-02A,Statusactive,,Success,2019.0,November,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-11-11 14:56:00+00:00,Falcon 9 Block 5 | Starlink V1 L1,Statusactive,50.0 ,Success,2019.0,November,USA
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-11-04 17:43:00+00:00,Long March 3B/E | Beidou-3 IGSO-3,Statusactive,29.15 ,Success,2019.0,November,China
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-11-03 03:22:00+00:00,Long March 4B | Gaofen-7,Statusactive,64.68 ,Success,2019.0,November,China
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-11-02 13:59:00+00:00,Antares 230+ | CRS NG-12,Statusactive,85.0 ,Success,2019.0,November,USA
Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-10-26 17:40:00+00:00,SARGE | Launch 4,Statusactive,,Failure,2019.0,October,New Mexico
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-10-17 15:21:00+00:00,Long March 3B/E | TJSW-4,Statusactive,29.15 ,Success,2019.0,October,China
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-10-17 01:22:00+00:00,Electron/Curie | As The Crow Flies,Statusactive,7.5 ,Success,2019.0,October,New Zealand
Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2019-10-11 01:59:00+00:00,Pegasus XL | ICON,Statusactive,40.0 ,Success,2019.0,October,USA
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-10-09 10:17:00+00:00,Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,Statusactive,65.0 ,Success,2019.0,October,Kazakhstan
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-10-04 18:51:00+00:00,Long March 4C | Gaofen 10 (Replacement),Statusactive,64.68 ,Success,2019.0,October,China
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-09-26 07:46:00+00:00,Soyuz 2.1b/Fregat | Cosmos 2541,Statusactive,48.5 ,Success,2019.0,September,Russia
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-09-25 13:57:00+00:00,Soyuz FG | Soyuz MS-15 (61S),Statusretired,,Success,2019.0,September,Kazakhstan
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019-09-25 00:54:00+00:00,Long March 2D | Yunhai-1-02,Statusactive,29.75 ,Success,2019.0,September,China
MHI,"LA-Y2, Tanegashima Space Center, Japan",2019-09-24 16:05:00+00:00,H-IIB | HTV-8,Statusretired,112.5 ,Success,2019.0,September,Japan
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-09-22 21:10:00+00:00,Long March 3B/YZ-1 | BeiDou-3 M23 & M24,Statusactive,,Success,2019.0,September,China
CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-09-19 06:42:00+00:00,Long March 11 | Zhuhai-1 Group 03,Statusactive,5.3 ,Success,2019.0,September,China
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-09-12 03:26:00+00:00,"Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",Statusactive,64.68 ,Success,2019.0,September,China
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-08-30 23:41:00+00:00,Kuaizhou 1A | KX-09 & Others,Statusactive,,Success,2019.0,August,China
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019-08-30 14:00:00+00:00,Rokot/Briz KM | Cosmos 2540,Statusretired,41.8 ,Success,2019.0,August,Russia
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2019-08-22 13:06:00+00:00,"Delta IV Medium+ (4,2) | GPS III SV02",Statusretired,164.0 ,Success,2019.0,August,USA
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-08-22 03:38:00+00:00,Soyuz 2.1a | Soyuz MS-14 (60S),Statusactive,48.5 ,Success,2019.0,August,Kazakhstan
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-08-19 12:12:00+00:00,"Electron/Curie | Look Ma, No Hands!",Statusactive,7.5 ,Success,2019.0,August,New Zealand
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-08-19 12:03:00+00:00,Long March 3B/E | ChinaSat 18,Statusactive,29.15 ,Success,2019.0,August,China
CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-08-17 04:11:00+00:00,Jielong-1 | Tianqi-4 & Others,Statusactive,7.5 ,Success,2019.0,August,China
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019-08-08 10:13:00+00:00,Atlas V 551 | AEHF 5,Statusactive,153.0 ,Success,2019.0,August,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-08-06 23:23:00+00:00,Falcon 9 Block 5 | AMOS-17,Statusactive,50.0 ,Success,2019.0,August,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-08-06 19:30:00+00:00,Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39,Statusactive,200.0 ,Success,2019.0,August,France
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-08-05 21:56:00+00:00,Proton-M/Briz-M | Cosmos 2539,Statusactive,65.0 ,Success,2019.0,August,Kazakhstan
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-07-31 12:10:00+00:00,Soyuz 2.1a | Progress MS-12,Statusactive,48.5 ,Success,2019.0,July,Kazakhstan
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-07-30 05:56:00+00:00,Soyuz 2.1a/Fregat-M | Meridian-M n†­18L,Statusactive,48.5 ,Success,2019.0,July,Russia
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-07-26 03:57:00+00:00,Long March 2C | Yaogan-30-05,Statusactive,30.8 ,Success,2019.0,July,China
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-07-25 22:01:00+00:00,Falcon 9 Block 5 | CRS-18,Statusactive,50.0 ,Success,2019.0,July,USA
i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2019-07-25 05:00:00+00:00,Hyperbola-1 | CAS-7B & Others,Statusactive,,Success,2019.0,July,China
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-07-22 09:13:00+00:00,GSLV Mk III | Chandrayaan-2 lunar mission,Statusactive,62.0 ,Success,2019.0,July,India
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-07-20 16:28:00+00:00,Soyuz FG | Soyuz MS-13 (59S),Statusretired,,Success,2019.0,July,Kazakhstan
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-07-13 12:31:00+00:00,Proton-M/DM-3 | Spektr-RG,Statusactive,65.0 ,Success,2019.0,July,Kazakhstan
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-07-11 01:53:00+00:00,Vega | Falcon Eye 1,Statusactive,37.0 ,Failure,2019.0,July,France
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-07-10 17:14:00+00:00,Soyuz 2.1v/Volga | Cosmos 2535 to 2538,Statusactive,,Success,2019.0,July,Russia
Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019-07-05 05:41:00+00:00,"Soyuz 2.1b/Fregat-M | Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",Statusactive,,Success,2019.0,July,Russia
Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-06-29 18:00:00+00:00,SARGE | Launch 3,Statusactive,,Partial Failure,2019.0,June,New Mexico
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-06-29 04:30:00+00:00,Electron/Curie | Make it Rain,Statusactive,7.5 ,Success,2019.0,June,New Zealand
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-06-25 06:30:00+00:00,Falcon Heavy | STP-2,Statusactive,90.0 ,Success,2019.0,June,USA
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-06-24 18:09:00+00:00,Long March 3B/E | Beidou-3 IGSO-2,Statusactive,29.15 ,Success,2019.0,June,China
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-06-20 21:43:00+00:00,Ariane 5 ECA | Eutelsat 7C &  AT&T T-16,Statusactive,200.0 ,Success,2019.0,June,France
SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-06-12 14:17:00+00:00,Falcon 9 Block 5 | RADARSAT Constellation,Statusactive,50.0 ,Success,2019.0,June,USA
CASC,"Tai Rui Barge, Yellow Sea",2019-06-05 04:06:00+00:00,Long March 11H | Jilin-1 & Others,Statusactive,5.3 ,Success,2019.0,June,Yellow Sea
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-05-30 17:42:00+00:00,Proton-M/Briz-M | Yamal-601,Statusactive,65.0 ,Success,2019.0,May,Kazakhstan
Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-05-27 06:23:00+00:00,Soyuz 2.1b/Fregat-M | Cosmos 2534,Statusactive,,Success,2019.0,May,Russia
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-24 02:30:00+00:00,Falcon 9 Block 5 | Starlink V0.9,Statusactive,50.0 ,Success,2019.0,May,USA
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-05-22 22:55:00+00:00,Long March 4C | Yaogan Weixing-33,Statusactive,64.68 ,Failure,2019.0,May,China
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-05-22 00:00:00+00:00,PSLV-CA | RISAT-2B,Statusactive,21.0 ,Success,2019.0,May,India
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-05-17 15:48:00+00:00,Long March 3C/E | Beidou-2 G8,Statusactive,,Success,2019.0,May,China
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-05-05 06:00:00+00:00,Electron/Curie | That's a Funny Looking Cactus,Statusactive,7.5 ,Success,2019.0,May,New Zealand
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-04 06:48:00+00:00,Falcon 9 Block 5 | CRS-17,Statusactive,50.0 ,Success,2019.0,May,USA
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-05-02 13:35:00+00:00,New Shepard | NS-11,Statusactive,,Success,2019.0,May,USA
CASC,"Taiyuan Satellite Launch Center, China",2019-04-29 22:52:00+00:00,Long March 4B | Tianhui-2 Group 01,Statusactive,64.68 ,Success,2019.0,April,China
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-04-20 14:30:00+00:00,Long March 3B/E | Beidou-3 IGSO-1,Statusactive,29.15 ,Success,2019.0,April,China
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-04-17 20:46:00+00:00,Antares 230 | CRS NG-11,Statusretired,85.0 ,Success,2019.0,April,USA
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-04-11 22:35:00+00:00,Falcon Heavy | ArabSat 6A,Statusactive,90.0 ,Success,2019.0,April,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-04-04 17:04:00+00:00,Soyuz ST-B/Fregat-MT | O3b FM17-FM20,Statusactive,,Success,2019.0,April,France
